,target,slct_method,feature_count,c,cv_score,op_hyperparameters,train_accuracy,test_accuracy,auc,f1,precision,recall,coef_pcps,coef_blink,coef_perf,coef_tct_cycle,coef_training,coef_CC,coef_DC,coef_PR,sel_pcps,sel_blink,sel_perf,sel_tct_cycle,sel_training,sel_CC,sel_DC,sel_PR
124,hist_4,K-Best,4,3.0,0.5738095238095238,{'base_model__C': 3},0.6190476190476191,0.6666666666666666,0.7270903361344537,0.369047619047619,0.295,0.5,-0.1427987797166172,0.0634845506903651,0.1873281061549576,-0.5829049714728551,0.2176518393786146,-1.0,0.0,1.0000000000000002,0,0,0,1,1,1,1,1
125,hist_4,K-Best,5,0.8,0.5761904761904763,{'base_model__C': 0.8},0.6031746031746031,0.6666666666666666,0.6205042016806723,0.369047619047619,0.295,0.5,-0.1427987797166172,0.0634845506903651,0.1873281061549576,-0.5829049714728551,0.2176518393786146,-1.0,0.0,1.0000000000000002,0,1,0,1,1,1,1,1
126,hist_4,K-Best,6,0.8,0.5904761904761905,{'base_model__C': 0.8},0.5873015873015873,0.6666666666666666,0.5844117647058824,0.369047619047619,0.295,0.5,-0.1427987797166172,0.0634845506903651,0.1873281061549576,-0.5829049714728551,0.2176518393786146,-1.0,0.0,1.0000000000000002,0,1,1,1,1,1,1,1
127,hist_4,K-Best,7,2.0,0.6547619047619049,{'base_model__C': 2},0.7301587301587301,0.7407407407407407,0.552563025210084,0.4846153846153846,0.4848484848484848,0.5714285714285714,-0.1427987797166172,0.0634845506903651,0.1873281061549576,-0.5829049714728551,0.2176518393786146,-1.0,0.0,1.0000000000000002,0,1,1,1,1,1,1,1
128,hist_4,K-Best,8,0.5,0.5761904761904763,{'base_model__C': 0.5},0.6507936507936508,0.5185185185185185,0.6164495798319327,0.2083333333333333,0.1977272727272727,0.2268907563025209,-0.1427987797166172,0.0634845506903651,0.1873281061549576,-0.5829049714728551,0.2176518393786146,-1.0,0.0,1.0000000000000002,1,1,1,1,1,1,1,1
129,cluster_2,K-Best,1,0.5,0.5452380952380952,{'base_model__C': 0.5},0.5873015873015873,0.6296296296296297,0.3470588235294117,0.3863636363636363,0.3148148148148148,0.5,0.9211873955324204,0.069030944864096,-0.1986199858926909,-0.2078245357469512,-0.1620895757230442,0.3317626122412935,-0.6716770554338778,0.3399144431925878,0,0,0,1,0,0,0,0
130,cluster_2,K-Best,2,0.7,0.4833333333333333,{'base_model__C': 0.7},0.5873015873015873,0.6296296296296297,0.2588235294117647,0.3863636363636363,0.3148148148148148,0.5,0.9211873955324204,0.069030944864096,-0.1986199858926909,-0.2078245357469512,-0.1620895757230442,0.3317626122412935,-0.6716770554338778,0.3399144431925878,0,0,0,1,1,0,0,0
131,cluster_2,K-Best,3,4.0,0.580952380952381,{'base_model__C': 4},0.6984126984126984,0.6666666666666666,0.5588235294117647,0.5846153846153846,0.6409090909090909,0.5911764705882353,0.9211873955324204,0.069030944864096,-0.1986199858926909,-0.2078245357469512,-0.1620895757230442,0.3317626122412935,-0.6716770554338778,0.3399144431925878,0,1,0,1,1,0,0,0
132,cluster_2,K-Best,4,0.9,0.6047619047619047,{'base_model__C': 0.9},0.6984126984126984,0.6666666666666666,0.4294117647058824,0.5846153846153846,0.6409090909090909,0.5911764705882353,0.9211873955324204,0.069030944864096,-0.1986199858926909,-0.2078245357469512,-0.1620895757230442,0.3317626122412935,-0.6716770554338778,0.3399144431925878,0,1,0,1,1,1,1,0
133,cluster_2,K-Best,5,2.0,0.5928571428571427,{'base_model__C': 2},0.7301587301587301,0.6296296296296297,0.6411764705882352,0.6029411764705883,0.6029411764705883,0.6029411764705883,0.9211873955324204,0.069030944864096,-0.1986199858926909,-0.2078245357469512,-0.1620895757230442,0.3317626122412935,-0.6716770554338778,0.3399144431925878,0,1,1,1,1,0,0,1
134,cluster_2,K-Best,6,3.0,0.5928571428571427,{'base_model__C': 3},0.7142857142857143,0.7037037037037037,0.7235294117647059,0.6666666666666667,0.680921052631579,0.6617647058823529,0.9211873955324204,0.069030944864096,-0.1986199858926909,-0.2078245357469512,-0.1620895757230442,0.3317626122412935,-0.6716770554338778,0.3399144431925878,0,1,1,1,1,1,1,1
